FID,BPID,STREET_NAM,FROM_STREE,TO_STREET,BLOCK,WARD,WIDTH,Rating2023,RatingCate,FC,CreationDa,Miles,Shape__Length
822,SYR2144,Lodi St,Wolf,Hiawatha,2800,2,36,4,Poor,17,7/14/2023 12:00:00 AM,0.151279875206,333.805523679022
823,SYR2146,Loma Ave,Hillside,Court,100,3,27,6,Fair,19,7/18/2023 12:00:00 AM,0.181628722123,400.384747555006
824,SYR2147,Loma Ave,Court,Weldon,200,1,27,8,Good,19,7/20/2023 12:00:00 AM,0.098756328384,217.696621823964
825,SYR2148,Loma Ave,Weldon,Cadillac,300,1,27,7,Good,19,7/20/2023 12:00:00 AM,0.10715674011,236.210431290784
826,SYR2149,Lombard St (Ave),Beech,Maple,100,16,28,5,Poor,19,7/25/2023 12:00:00 AM,0.112222240074,246.856698172729
827,SYR215,"Bear St., E.",Sunset,Lodi,100,2,35,6,Fair,17,7/14/2023 12:00:00 AM,0.0513229389779,113.228346983421
828,SYR2150,Lombard St (Ave),Maple,Cherry,200,16,28,7,Good,19,7/25/2023 12:00:00 AM,0.105287870281,231.633504739236
829,SYR2152,Lombard St (Ave),Columbus,Erie,400,16,28,7,Good,19,7/25/2023 12:00:00 AM,0.108567728444,238.818688977365
830,SYR2153,Lombard St (Ave),Wescott,Erie Blvd. E.,500,17,28,7,Good,19,7/25/2023 12:00:00 AM,0.073998081181,162.825676003236
831,SYR2154,Longmeadow Cir,Longmeadow Dr,circle,200,14,28,7,Good,19,8/21/2023 12:00:00 AM,0.0513059060427,112.736230130805
832,SYR2155,Longmeadow Dr,Spauling,Longmead. Cir.,400,14,27,8,Good,19,8/21/2023 12:00:00 AM,0.101310071357,223.405053375929
833,SYR2156,Longmeadow Dr,Longmead. Cir.,Hilton,300,14,27,8,Good,19,8/21/2023 12:00:00 AM,0.138590618626,305.610466125577
834,SYR2157,Loomis Ave,Atlantic,Ballantyne,100,13,29,7,Good,19,8/22/2023 12:00:00 AM,0.0905861407691,199.798653311678
835,SYR2158,Loomis Ave,Ballantyne,Pacific,200,13,29,7,Good,19,8/22/2023 12:00:00 AM,0.120753962615,266.331755978865
836,SYR2159,Loomis Ave,Pacific,Fish,300,13,29,7,Good,19,8/22/2023 12:00:00 AM,0.0758248708325,167.233713512153
837,SYR216,"Bear St., E.",Lodi,N. Salina,200,2,35,6,Fair,19,7/14/2023 12:00:00 AM,0.0905927114315,199.868208661035
838,SYR2161,"Lorraine Ave, N.",Colvin,Robert,100,19,24,5,Poor,19,8/14/2023 12:00:00 AM,0.0994083874589,219.348837115386
839,SYR2162,"Lorraine Ave, S.",Colvin,Boise,100,19,24,4,Poor,19,8/14/2023 12:00:00 AM,0.0640534097145,141.334353505865
840,SYR2163,"Lorraine Ave, S.",Boise,Vincent,200,19,24,4,Poor,19,8/14/2023 12:00:00 AM,0.20507603537,452.485662552975
841,SYR2164,"Lowell Ave , N.",Tompkins,Ulster,100,8,36,5,Poor,19,7/12/2023 12:00:00 AM,0.0948394437979,209.186171556447
842,SYR2165,"Lowell Ave , N.",Ulster,Schuyler,200,7,36,5,Poor,19,7/12/2023 12:00:00 AM,0.094481299154,208.397994873756
843,SYR2166,"Lowell Ave , N.",Schuyler,Hamilton,300,7,36,5,Poor,19,7/12/2023 12:00:00 AM,0.0755684038508,166.68460377152
844,SYR2167,"Lowell Ave , N.",Hamilton,W. Genesee,400,7,36,5,Poor,19,7/12/2023 12:00:00 AM,0.0747989971012,164.977595512425
845,SYR2168,"Lowell Ave , N.",W. Genesee,School,500,7,36,6,Fair,19,7/12/2023 12:00:00 AM,0.0790997164242,174.479995180153
846,SYR2169,"Lowell Ave , N.",School,St. Mark's,600,7,36,6,Fair,19,7/12/2023 12:00:00 AM,0.0834852504992,184.156188994993
847,SYR217,"Bear St., E.",N. Salina,Park,300,1,34,4,Poor,19,7/7/2023 12:00:00 AM,0.0905949870654,199.878886366909
848,SYR2170,"Lowell Ave , N.",St. Mark's,Williams,700,7,36,7,Good,19,7/12/2023 12:00:00 AM,0.0367187613792,80.9953831661704
849,SYR2171,Lowell Ave S,Tompkins,Tennyson,100,8,30,7,Good,19,7/12/2023 12:00:00 AM,0.0550435094131,121.406455820184
850,SYR2172,Lowell Ave S,Tennyson,Bryant,200,8,30,7,Good,19,7/12/2023 12:00:00 AM,0.0529677154221,116.827467299619
851,SYR2173,Lowell Ave S,Bryant,Whittier,300,8,30,7,Good,19,7/12/2023 12:00:00 AM,0.0546100852768,120.447477312395
852,SYR2174,Lowell Ave S,Whittier,Coleridge,400,8,30,6,Fair,19,7/12/2023 12:00:00 AM,0.0308522087717,68.0490200021517
853,SYR2175,Luddington St.,S. Glencove,Caleb,100,5,26,8,Good,19,6/27/2023 12:00:00 AM,0.166815569537,368.296761445112
854,SYR2176,Luddington St.,Caleb,Burnet,200,5,26,8,Good,19,6/27/2023 12:00:00 AM,0.105969237161,233.958183729822
855,SYR2177,Lydell St,Grand Av,Hartson,100,11,25,7,Good,19,7/26/2023 12:00:00 AM,0.158647955949,350.127391393982
856,SYR2178,Lydell St.,Hartson,Rowland,200,11,25,7,Good,19,7/26/2023 12:00:00 AM,0.0498300613955,109.969413888082
857,SYR2179,Lydell St.,Rowland,W. Onondaga,300,11,25,6,Fair,19,7/26/2023 12:00:00 AM,0.132451143955,292.299297975814
858,SYR218,"Bear St., E.",Park,Carbon,400,1,34,7,Good,19,7/7/2023 12:00:00 AM,0.0906260967205,199.94796450752
859,SYR2180,Lynch Ave,South Av,Edgewood,100,13,23,7,Good,19,7/26/2023 12:00:00 AM,0.042323939391,93.0394403208631
860,SYR2181,Lynch Ave,Edgewood,Fletcher,200,13,23,5,Poor,19,7/26/2023 12:00:00 AM,0.0609877074446,134.067304017049
861,SYR2182,Lynch Ave,Fletcher,Russell,300,13,23,5,Poor,19,7/26/2023 12:00:00 AM,0.0601747369963,132.280676367042
862,SYR2183,Lynch Ave,Russell,Clayton,400,13,23,6,Fair,19,7/26/2023 12:00:00 AM,0.0617325353338,135.704764756006
863,SYR2184,Lynch Ave,Clayton,Mitchell,500,13,23,6,Fair,19,7/26/2023 12:00:00 AM,0.0725772658637,159.54388786416
864,SYR2185,Lynch St,Teall,dead end,100,6,30,8,Good,19,7/25/2023 12:00:00 AM,0.109355022316,240.637721312983
865,SYR2186,Lynhurst Ave W,S. Salina,dead end,100,14,27,6,Fair,19,8/2/2023 12:00:00 AM,0.171282118211,376.526150440336
866,SYR2187,Lynn Cir,Sunrise,dead end,100,14,29,7,Good,19,8/21/2023 12:00:00 AM,0.180624074539,397.76644134646
867,SYR2188,Lynwood Ave.,James,Tyson,100,5,24,9,Excellent,19,7/24/2023 12:00:00 AM,0.134467777798,296.923747598971
868,SYR219,"Bear St., E.",Carbon,Spring,500,1,34,8,Good,19,7/7/2023 12:00:00 AM,0.0895868267533,197.659913788312
869,SYR2190,Macdougal Pl,Academy St.,dead end,100,13,24,6,Fair,19,8/21/2023 12:00:00 AM,0.0752206174563,165.89322278394
870,SYR2191,Madison St,Onondaga/Warren,Montgomery,100,9,48,4,Poor,19,8/23/2023 12:00:00 AM,0.101278575624,222.746177029999
871,SYR2192,Madison St,Montgomery,S. State,200,15,48,7,Good,19,8/23/2023 12:00:00 AM,0.0663605701074,145.949608850231
872,SYR2193,Madison St,Almond,Irving,600,15,30,10,Excellent,19,8/1/2023 12:00:00 AM,0.224287498081,493.285099936114
873,SYR2194,Madison St,Irving,Crouse,700,15,30,9,Excellent,19,8/1/2023 12:00:00 AM,0.0604328485515,132.912599480064
874,SYR2195,Madison St,Crouse,University Av,800,15,27,9,Excellent,19,8/1/2023 12:00:00 AM,0.112283080936,246.94928768841
875,SYR2196,Madison St,University Av,Walnut Av,900,16,30,9,Excellent,19,8/1/2023 12:00:00 AM,0.112235402382,246.844424906977
876,SYR2197,Madison St,Walnut Av,Comstock,1000,16,30,9,Excellent,19,8/1/2023 12:00:00 AM,0.0763812926226,167.98866072991
877,SYR2198,Madison St,Comstock,Ostrom,1100,16,30,8,Good,19,7/25/2023 12:00:00 AM,0.0821991593008,180.78416110706
878,SYR2199,Madison St,Ostrom,S. Beech,1200,16,30,9,Excellent,19,7/25/2023 12:00:00 AM,0.165230058805,363.405122229761
879,SYR22,"Adams St., E.",Montgomery,S. State,300,15,64,8,Good,14,8/23/2023 12:00:00 AM,0.0670747611537,147.513885042548
880,SYR220,"Bear St., E.",Spring,First North,600,1,34,8,Good,19,7/7/2023 12:00:00 AM,0.0957782054845,211.324670772761
881,SYR2200,Madison St,S. Beech,Cherry,1300,17,27,7,Good,19,7/25/2023 12:00:00 AM,0.0953930735928,209.805620059775
882,SYR2201,Madison St,Cherry,Bassett,1400,17,27,7,Good,19,7/25/2023 12:00:00 AM,0.0563147252709,123.857103605013
883,SYR2202,Magnolia St,W. Fayette,Marcellus,100,8,29,8,Good,19,8/21/2023 12:00:00 AM,0.15948288303,351.923942180603
884,SYR2204,Mains Ave,Camp,Oakdale,100,13,28,7,Good,19,8/22/2023 12:00:00 AM,0.0783956971121,172.864096249138
885,SYR2205,Mains Ave,Oakdale,Maxwell,200,13,28,6,Fair,19,8/22/2023 12:00:00 AM,0.0546714397922,120.541713193215
886,SYR2206,Mains Ave,Maxwell,Bradford,300,13,28,6,Fair,19,8/22/2023 12:00:00 AM,0.0546997275923,120.603297214723
887,SYR2207,Mains Ave,Bradford,Englewood,400,13,28,6,Fair,19,8/22/2023 12:00:00 AM,0.0551786151486,121.655215368063
888,SYR2208,Malcolm St,W. Onondaga,dead end,100,11,27,5,Poor,19,7/26/2023 12:00:00 AM,0.0844211023268,186.285682776471
889,SYR2209,Maltbie St,Spencer,Evans,100,2,27,7,Good,19,7/6/2023 12:00:00 AM,0.157434986262,347.311805950335
890,SYR221,"Bear St., E.",First North,Second North,700,1,34,8,Good,19,7/7/2023 12:00:00 AM,0.0928557117277,204.882451420376
891,SYR2210,Malverne Dr,Hillside,Court,100,3,27,4,Poor,19,7/18/2023 12:00:00 AM,0.172794200761,380.905219374982
892,SYR2211,Malverne Dr.,Court,Weldon,200,1,27,8,Good,19,7/20/2023 12:00:00 AM,0.108002997676,238.078541960033
893,SYR2212,Malverne Dr.,Weldon,Cadillac,300,1,27,7,Good,19,7/20/2023 12:00:00 AM,0.107177601265,236.262555553979
894,SYR2213,Manilla St,Oak,dead end,100,6,23,7,Good,19,7/25/2023 12:00:00 AM,0.0924222646675,203.296068244773
895,SYR2214,Manor Dr,E. Genesee,Salt Springs Rd,100,17,27,7,Good,19,7/28/2023 12:00:00 AM,0.250625829872,553.147901434137
896,SYR2215,Maple St,Lombard,Fayette,200,16,27,5,Poor,19,7/25/2023 12:00:00 AM,0.0566833898683,125.091851167049
897,SYR2216,Maple St.,Fayette,Genesee,300,16,27,7,Good,19,7/25/2023 12:00:00 AM,0.0907226201191,200.255590495587
898,SYR2217,Maple St.,Genesee,Madison,400,16,27,5,Poor,19,7/25/2023 12:00:00 AM,0.116031101623,256.110938308526
899,SYR2218,Maplehurst Ave,Darlington/Huntley,Hillside,100,3,0,8,Good,19,7/18/2023 12:00:00 AM,0.174929252102,385.618732119632
900,SYR2219,Maplehurst Ave,Hillside,Court,200,3,0,5,Poor,19,7/18/2023 12:00:00 AM,0.147076781866,324.213624627859
901,SYR222,"Bear St., E.",Second North,Grant Blvd.,800,1,34,8,Good,19,7/7/2023 12:00:00 AM,0.0964842513996,212.893714724986
902,SYR2220,Maplewood Ave,S. Salina,Coldbrook,100,14,30,6,Fair,19,8/21/2023 12:00:00 AM,0.22038916645,484.263198124155
903,SYR2221,Maplewood Ave.,Coldbrook,Edgewood,200,14,30,6,Fair,19,8/21/2023 12:00:00 AM,0.178753836068,393.165132317126
904,SYR2223,Marcellus St,Wyoming,Niagara,200,8,35,5,Poor,19,8/21/2023 12:00:00 AM,0.0809718426521,178.153067852544
905,SYR2224,Marcellus St,Niagara,Tioga,300,8,35,6,Fair,19,8/21/2023 12:00:00 AM,0.0876810793925,192.914096351681
906,SYR2225,Marcellus St,Tioga,Oswego,400,8,35,5,Poor,19,8/21/2023 12:00:00 AM,0.0881894669659,194.03082365638
907,SYR2226,Marcellus St,Oswego,Seneca,500,8,35,5,Poor,19,8/21/2023 12:00:00 AM,0.0875086710652,192.531126285074
908,SYR2227,Marcellus St,Seneca,Ontario,600,8,35,5,Poor,19,8/21/2023 12:00:00 AM,0.0872947764093,192.059157043732
909,SYR2228,Marcellus St,Ontario,Geddes,700,8,35,4,Poor,19,8/21/2023 12:00:00 AM,0.134244150451,295.351271964762
910,SYR223,"Bear St., W.",Sunset,N. Clinton,100,2,36,0,Not Rated,14,8/21/2023 12:00:00 AM,0.0782695360127,172.675302693368
911,SYR2230,Marcellus St W,Nelson,Wilbur,200,8,0,10,Excellent,19,8/21/2023 12:00:00 AM,0.0610189169264,134.369993163686
912,SYR2231,Marcia St,Kenwood,dead end,100,1,0,7,Good,19,7/20/2023 12:00:00 AM,0.0538951729674,118.832517192426
913,SYR2232,Marginal St,South,Rich,100,12,22,6,Fair,19,8/18/2023 12:00:00 AM,0.138223932502,304.23538186098
914,SYR2233,Marguerite Ave,Hunt,Bishop,0,13,28,6,Fair,19,8/18/2023 12:00:00 AM,0.121674734902,267.498789988598
915,SYR2234,Marguerite Ave,Bishop,South,300,13,28,6,Fair,19,8/18/2023 12:00:00 AM,0.101362952955,222.865475546939
916,SYR2235,Mariposa St.,Teall,Hixson,100,5,24,8,Good,19,7/11/2023 12:00:00 AM,0.122845029228,270.255174120771
917,SYR2236,Mariposa St.,Hixson,dead end,200,5,22,8,Good,19,7/11/2023 12:00:00 AM,0.101325851951,222.913569544644
918,SYR2237,Maris Dr,Kramer,Riverdale,100,13,26,7,Good,19,8/21/2023 12:00:00 AM,0.103008718323,227.187476722883
919,SYR2238,Marjorie St,Warrington,Rosemont,100,14,24,6,Fair,19,8/21/2023 12:00:00 AM,0.0598328338036,131.954455332365
920,SYR8063,Mark Avenue,West Colvin,Wood,100,0,0,5,Poor,19,8/2/2023 12:00:00 AM,0.0530826353865,117.085511675046
921,SYR224,"Bear St., W.",N. Clinton,Solar,200,2,54,9,Excellent,14,7/6/2023 12:00:00 AM,0.14801456658,326.262781524805
922,SYR2240,Market St,Washington,Water,100,15,16,9,Excellent,19,8/23/2023 12:00:00 AM,0.0651631308905,143.842144940169
923,SYR2241,Markland Ave,Bellevue,Grant Av,100,11,0,8,Good,19,7/26/2023 12:00:00 AM,0.066940339237,147.721066980265
924,SYR2242,Markland Ave,Grant Av,Stolp,200,11,0,8,Good,19,7/26/2023 12:00:00 AM,0.124416759753,274.551347665115
925,SYR2243,Marlborough Rd.,James,Arnett,100,4,27,6,Fair,19,7/24/2023 12:00:00 AM,0.0927673089796,204.83783936497
926,SYR2244,Marlborough Rd.,Arnett,Norton,200,4,27,6,Fair,19,7/24/2023 12:00:00 AM,0.1235754392,272.873345406261
927,SYR2245,Marlborough Rd.,Norton,Beacon,300,4,27,6,Fair,19,7/24/2023 12:00:00 AM,0.123459515062,272.622716979662
928,SYR2246,Marlett St,Loomis,Shirley,100,13,31,7,Good,19,8/22/2023 12:00:00 AM,0.0473471514728,104.089560503428
929,SYR2247,Marlett St,Shirley,Valley,200,13,31,7,Good,19,8/22/2023 12:00:00 AM,0.053224125562,117.006364046556
930,SYR2249,Marquette St.,Hunter,Sand,0,2,20,6,Fair,19,7/6/2023 12:00:00 AM,0.0880719531016,193.81120553461
931,SYR225,"Bear St., W.",Solar,Van Rennselaer,300,2,64,9,Excellent,14,7/6/2023 12:00:00 AM,0.29117518423,641.763380991412
932,SYR2250,Marshall St,Crouse,University,100,16,0,0,Not Rated,19,11/7/2023 12:00:00 AM,0.111767216563,245.799432706364
933,SYR2251,Marshall St.,University,Walnut,200,16,36,5,Poor,19,8/1/2023 12:00:00 AM,0.112279929317,246.927185125984
934,SYR2252,Marshall St.,Walnut,Comstock,300,16,36,4,Poor,19,8/1/2023 12:00:00 AM,0.0981577513297,215.869604941927
935,SYR2253,Marshall St.,Comstock,Ostrom,400,16,36,4,Poor,19,8/1/2023 12:00:00 AM,0.0824552474853,181.336410472062
936,SYR2254,Martin St,Court,Cadillac,100,1,30,7,Good,19,7/20/2023 12:00:00 AM,0.177929697331,392.20848181672
937,SYR2255,Martin St,Cadillac,LeMoyne,200,1,30,7,Good,19,7/20/2023 12:00:00 AM,0.146598610749,323.158948253879
938,SYR2256,Martin St,LeMoyne,dead end,300,1,30,7,Good,19,7/20/2023 12:00:00 AM,0.114903585579,253.213886295652
939,SYR2257,Marvin Rd,Valley,Barnes,100,13,30,6,Fair,19,8/22/2023 12:00:00 AM,0.141185810017,310.369130870559
940,SYR2258,Mary St,Lodi,Park,100,3,34,6,Fair,19,7/5/2023 12:00:00 AM,0.218509942631,482.054289565147
941,SYR2259,Mary St,Park,Carbon,200,3,34,7,Good,19,7/5/2023 12:00:00 AM,0.0879446416866,194.019002591826
942,SYR226,"Bear St., W.",Van Rennselaer,Pulaski,400,2,68,9,Excellent,14,7/6/2023 12:00:00 AM,0.172561671859,380.320207812515
943,SYR2260,Maryland Ave,Clarendon,Redfield Pl.,700,16,24,9,Excellent,19,7/25/2023 12:00:00 AM,0.0600852985488,132.606793437594
944,SYR2261,Maryland Ave.,Redfield Pl.,Euclid,800,16,24,9,Excellent,19,7/25/2023 12:00:00 AM,0.0617219084885,136.216044221987
945,SYR2262,Maryland Ave.,Euclid,Westminister,900,16,24,9,Excellent,19,8/2/2023 12:00:00 AM,0.246929743792,544.934125236045
946,SYR2263,Massena St,Holland,Kellogg,100,10,33,10,Excellent,19,8/21/2023 12:00:00 AM,0.062764451802,138.272453406125
947,SYR2264,Massena St.,Kellogg,Grace,200,10,33,10,Excellent,19,8/21/2023 12:00:00 AM,0.062328038477,137.308957118301
948,SYR2265,Massena St.,Grace,Sabine,300,10,33,10,Excellent,19,8/21/2023 12:00:00 AM,0.0626392597411,137.99966942778
949,SYR2266,Massena St.,Sabine,Merriman,400,10,33,10,Excellent,19,8/21/2023 12:00:00 AM,0.119031051927,262.500813679007
950,SYR2268,Mather St,Burnet,Hawley,100,6,32,4,Poor,19,7/6/2023 12:00:00 AM,0.204512508662,451.469205252815
951,SYR2269,Mather St.,Hawley,Lincoln Pk. Dr.,200,6,27,4,Poor,19,7/6/2023 12:00:00 AM,0.174501713337,385.236205173388
952,SYR227,"Bear St., W.",Pulaski,Spencer,500,2,68,9,Excellent,14,7/6/2023 12:00:00 AM,0.165241064239,364.167108329453
953,SYR2270,Matson Ave E,S. Salina,dead end,100,14,24,5,Poor,19,11/7/2023 12:00:00 AM,0.117325014665,257.907815285359
954,SYR2271,Matson Ave W,S. Salina,Midland,100,14,24,7,Good,19,8/2/2023 12:00:00 AM,0.313044543,688.144327471283
955,SYR2272,Matson Ave W,Midland,Onon. Crk. Blvd.,300,14,24,6,Fair,19,8/2/2023 12:00:00 AM,0.276731794445,608.313254674663
956,SYR2273,Matty Ave,Wilkinson,Park,100,2,30,9,Excellent,19,7/6/2023 12:00:00 AM,0.0676033271535,149.231092628593
957,SYR2274,Maurice Ave,Valley,Barnes,100,13,32,6,Fair,19,8/22/2023 12:00:00 AM,0.116011892539,255.052805253901
958,SYR2275,Maxwell Ave,Valley,Mains,100,13,26,7,Good,19,8/22/2023 12:00:00 AM,0.109505939905,240.807212066223
959,SYR2276,May Ave,W. Colvin,Eastman,100,13,26,7,Good,19,7/26/2023 12:00:00 AM,0.0941974582882,207.840479283756
960,SYR2277,May Ave,Eastman,Hillview,200,13,26,7,Good,19,7/26/2023 12:00:00 AM,0.0850504394388,187.647349913904
961,SYR2278,Mayar St,Grant Blvd.,Listman,100,3,22,8,Good,19,7/18/2023 12:00:00 AM,0.159724623093,352.710032215758
962,SYR2279,Maywood Dr,Seneca Tnpk,dead end,100,14,27,7,Good,19,8/14/2023 12:00:00 AM,0.170509126998,376.087117902571
963,SYR228,"Beard Ave., E.",S. Salina,S. State,100,19,25,9,Excellent,19,8/2/2023 12:00:00 AM,0.10025606861,220.518141767876
964,SYR2280,Mcallister Ave,S. Salina,S. State,100,19,29,5,Poor,19,8/2/2023 12:00:00 AM,0.104198596016,229.088061918522
965,SYR2281,Mcallister Ave,S. State,dead end,200,19,29,0,Not Rated,19,11/7/2023 12:00:00 AM,0.0388275307636,85.3646489359463
966,SYR2282,McBride St N,Erie,Burnet,100,9,30,5,Poor,17,7/6/2023 12:00:00 AM,0.100647789866,222.17732749298
967,SYR2283,McBride St N,Burnet,Hawley,200,6,30,5,Poor,17,7/6/2023 12:00:00 AM,0.0834999126963,184.325861798825
968,SYR2284,McBride St N,Hawley,James,300,6,30,5,Poor,17,7/6/2023 12:00:00 AM,0.0679866914627,149.922487244212
969,SYR2285,McBride St N,James,Willow,400,6,30,5,Poor,19,7/5/2023 12:00:00 AM,0.0661149592201,145.817595631147
970,SYR2286,McBride St N,Willow,Hickory,500,9,30,5,Poor,19,7/5/2023 12:00:00 AM,0.0623844598552,137.597834742311
971,SYR2287,McBride St N,Hickory,Union Av,600,9,30,5,Poor,19,7/5/2023 12:00:00 AM,0.0752452801551,165.963300592644
972,SYR2288,McBride St N,Union Av,Laurel,700,9,30,5,Poor,19,7/5/2023 12:00:00 AM,0.187296871508,413.146723575364
973,SYR2289,McBride St N,Laurel,Butternut,800,9,30,5,Poor,19,7/5/2023 12:00:00 AM,0.0976575167705,215.398226101201
974,SYR229,"Beard Ave., W.",S. Salina,Landon,100,19,28,8,Good,19,8/2/2023 12:00:00 AM,0.110830889892,243.775570545778
975,SYR2290,McBride St N,Butternut,Ash,900,9,30,5,Poor,19,7/19/2023 12:00:00 AM,0.0981546013564,216.489871428987
976,SYR2291,McBride St N,Ash,Division/Lodi,1000,3,30,5,Poor,19,7/19/2023 12:00:00 AM,0.14074681898,310.487294536262
977,SYR2292,McBride St S,Erie Blvd,Washington,100,15,30,5,Poor,17,8/23/2023 12:00:00 AM,0.0908737109187,200.59698245074
978,SYR2293,McBride St S,Washington,Fayette,200,15,30,5,Poor,17,8/23/2023 12:00:00 AM,0.0628144507752,138.65557471096
979,SYR2294,McBride St S,Fayette,Genesee,300,15,30,5,Poor,17,8/23/2023 12:00:00 AM,0.0735095947971,162.261260685316
980,SYR2295,McBride St S,Adams,Jackson,1000,9,30,5,Poor,19,8/23/2023 12:00:00 AM,0.165127198647,364.454736651133
981,SYR2296,McBride St S,Jackson,Taylor,1100,9,30,5,Poor,19,8/23/2023 12:00:00 AM,0.0623091158851,137.517931535977
982,SYR2297,McBride St S,Taylor,Burt,1200,9,30,5,Poor,19,8/23/2023 12:00:00 AM,0.0727504655288,160.55989310606
983,SYR2298,McBride St S,Burt,Van Buren,1300,18,30,5,Poor,19,8/23/2023 12:00:00 AM,0.062207902512,137.29076967343
984,SYR2299,McBride St S,Van Buren,Rose,1400,18,30,5,Poor,19,8/23/2023 12:00:00 AM,0.055125901349,121.658822006058
985,SYR23,"Adams St., E.",S. State,Townsend,400,15,64,8,Good,14,8/23/2023 12:00:00 AM,0.09435429598,207.508306265548
986,SYR230,"Beard Ave., W.",Landon,Mark,200,19,28,8,Good,19,8/2/2023 12:00:00 AM,0.106070052088,233.301201315516
987,SYR2300,McBride St S,Rose,Raynor,1500,18,30,5,Poor,19,8/23/2023 12:00:00 AM,0.0738614151004,162.996465794377
988,SYR2301,McCarthy Ave,S. State,S. Townsend,100,15,29,6,Fair,19,8/23/2023 12:00:00 AM,0.0977692890325,215.038347741892
989,SYR2302,McChesney Pk Dr,Grant Blvd.,Hood,100,1,30,6,Fair,19,7/19/2023 12:00:00 AM,0.105899532809,233.617602000364
990,SYR2303,McClure Ave,S. Salina,S. State,100,19,25,4,Poor,19,8/2/2023 12:00:00 AM,0.104017656635,228.684865126741
991,SYR2306,McKinley Ave,S. Salina,S. State,100,19,27,5,Poor,19,8/2/2023 12:00:00 AM,0.104203586521,229.106232056895
992,SYR2307,McKinley Ave,S. State,dead end,200,19,27,5,Poor,19,11/7/2023 12:00:00 AM,0.0942805467987,207.287682796126
993,SYR2308,McLennan Ave,S. Salina,Landon,100,18,28,9,Excellent,19,8/2/2023 12:00:00 AM,0.110397465039,242.831990002416
994,SYR2309,McLennan Ave.,Landon,Midland,200,18,28,9,Excellent,19,8/2/2023 12:00:00 AM,0.17157531731,377.390245313623
995,SYR231,"Beard Ave., W.",Mark,Midland,300,19,28,8,Good,19,8/2/2023 12:00:00 AM,0.0736102895781,161.907891901429
996,SYR2310,McLennan Ave.,Midland,Argyle,300,19,28,6,Fair,19,8/2/2023 12:00:00 AM,0.0612371632952,134.691964260896
997,SYR2311,Meadowbrook Dr,Lancaster,Buckingham,100,19,40,7,Good,19,8/2/2023 12:00:00 AM,0.127443478401,280.20443759044
998,SYR2312,Meadowbrook Dr.,Buckingham,Kensington,200,19,40,6,Fair,17,8/2/2023 12:00:00 AM,0.185709679732,409.072993460483
999,SYR2313,Meadowbrook Dr.,Kensington,Wescott,300,19,40,6,Fair,17,8/2/2023 12:00:00 AM,0.153864751342,338.583086314584
1000,SYR2314,Meadowbrook Dr.,Wescott,Broad,400500,19,40,7,Good,17,8/2/2023 12:00:00 AM,0.336535083058,742.00208697663
1001,SYR2315,Meadowbrook Dr.,Broad,Fellows,600,17,40,7,Good,17,8/2/2023 12:00:00 AM,0.16719140263,368.258692243286
1002,SYR2316,Meadowbrook Dr.,Fellows,Westmoreland,700,17,40,7,Good,17,8/2/2023 12:00:00 AM,0.128034528531,281.686871568271
1003,SYR2317,Meadowbrook Dr.,Westmoreland,Nottingham/Dakota,800,17,40,7,Good,17,8/2/2023 12:00:00 AM,0.226660464217,498.897022768471
1004,SYR2318,Meadowbrook Dr.,Nottingham/Dakota,Montana,900,17,40,7,Good,17,8/2/2023 12:00:00 AM,0.33890884035,747.759120882846
1005,SYR2319,Meadowbrook Dr.,Montana,Euclid,1000,17,40,7,Good,17,8/2/2023 12:00:00 AM,0.236470114086,521.476592690962
1006,SYR232,"Beard Ave., W.",Midland,Glahn,400,19,23,9,Excellent,19,8/2/2023 12:00:00 AM,0.121645791772,267.521013897015
1007,SYR2320,Meadowbrook Dr.,Euclid,Scottholm Terr.,1100,17,40,7,Good,17,11/7/2023 12:00:00 AM,0.19422187836,428.277324056126
1008,SYR2321,Meadowbrook Dr.,Scottholm Terr.,Scott,1200,17,40,7,Good,17,8/2/2023 12:00:00 AM,0.245319710195,540.959015242786
1009,SYR2322,Meadowbrook Dr.,Scott,Bradford,1300,17,40,7,Good,17,8/2/2023 12:00:00 AM,0.253994057413,559.58460751883
1010,SYR2323,Meadowbrook Dr.,Bradford,Brookford,1400,17,40,8,Good,17,8/2/2023 12:00:00 AM,0.166655559746,366.778882307946
1011,SYR2324,Meadowbrook Dr.,Brookford,Hatherly,1500,17,40,8,Good,17,8/2/2023 12:00:00 AM,0.154947244382,340.84767318538
1012,SYR2325,Meadowbrook Dr.,Hatherly,Harrington,1600,17,40,8,Good,17,8/2/2023 12:00:00 AM,0.128744438856,283.180026802352
1013,SYR2326,Meadowbrook Dr.,Harrington,Hurlburt,1700,17,40,8,Good,17,8/2/2023 12:00:00 AM,0.138505185517,304.645395640312
1014,SYR2327,Meadowbrook Dr.,Hurlburt,Hillsboro,1800,17,40,7,Good,17,8/1/2023 12:00:00 AM,0.52750631226,1160.72690677889
1015,SYR2328,Medora Pl,Valley Dr.,Onon Crk Blvd,100,13,28,6,Fair,19,8/18/2023 12:00:00 AM,0.117543309556,258.472318756524
1016,SYR2329,Melbourne Ave,Mountainview,Fayette,100,17,30,6,Fair,19,7/28/2023 12:00:00 AM,0.11177077534,246.724808942117
1017,SYR233,Beard Pl.,E. Beard,Colvin,100,19,12,0,Not Rated,19,11/7/2023 12:00:00 AM,0.10456254614,230.666416257743
